Location,Area,Year,Classification,Count,Proportion
Saddleworth South Ward,Saddleworth South Ward,1991,"Higher managerial, administrative & professional occupations",311.0,0.7249417249417249
Saddleworth South Ward,Saddleworth South Ward,2001,"Higher managerial, administrative & professional occupations",2599.0,0.4605706184653553
Saddleworth South Ward,Saddleworth South Ward,2011,"Higher managerial, administrative & professional occupations",5468.0,0.5755789473684211
Saddleworth South Ward,Saddleworth South Ward,2021,"Higher managerial, administrative & professional occupations",3882.0,0.46181299072091364
New Mills West Ward,New Mills West Ward,1971,Intermediate occupations,50.0,0.2304147465437788
New Mills West Ward,New Mills West Ward,1981,Intermediate occupations,65.0,0.2801724137931034
New Mills West Ward,New Mills West Ward,1991,Intermediate occupations,35.0,0.1598173515981735
New Mills West Ward,New Mills West Ward,2001,Intermediate occupations,558.0,0.21200607902735563
New Mills West Ward,New Mills West Ward,2011,Intermediate occupations,777.0,0.18713872832369943
New Mills West Ward,New Mills West Ward,2021,Intermediate occupations,820.0,0.23242630385487528
New Mills East Ward,New Mills East Ward,1971,Intermediate occupations,79.0,0.3333333333333333
New Mills East Ward,New Mills East Ward,1981,Intermediate occupations,63.0,0.32142857142857145
New Mills East Ward,New Mills East Ward,1991,Intermediate occupations,37.0,0.21637426900584794
New Mills East Ward,New Mills East Ward,2001,Intermediate occupations,424.0,0.18752764263600177
New Mills East Ward,New Mills East Ward,2011,Intermediate occupations,568.0,0.1699072689201316
New Mills East Ward,New Mills East Ward,2021,Intermediate occupations,641.0,0.1933634992458522
Buxton Central Ward,Buxton Central Ward,1971,Intermediate occupations,58.0,0.26126126126126126
Buxton Central Ward,Buxton Central Ward,1981,Intermediate occupations,39.0,0.2532467532467532
Buxton Central Ward,Buxton Central Ward,1991,Intermediate occupations,41.0,0.271523178807947
Buxton Central Ward,Buxton Central Ward,2001,Intermediate occupations,441.0,0.1905790838375108
Buxton Central Ward,Buxton Central Ward,2011,Intermediate occupations,548.0,0.1432305279665447
Buxton Central Ward,Buxton Central Ward,2021,Intermediate occupations,633.0,0.19974755443357525
Dinting Ward,Dinting Ward,1971,Intermediate occupations,25.0,0.20833333333333334
Dinting Ward,Dinting Ward,1981,Intermediate occupations,35.0,0.22151898734177214
Dinting Ward,Dinting Ward,1991,Intermediate occupations,22.0,0.1527777777777778
Dinting Ward,Dinting Ward,2001,Intermediate occupations,289.0,0.2250778816199377
Dinting Ward,Dinting Ward,2011,Intermediate occupations,379.0,0.20148856990962255
Dinting Ward,Dinting Ward,2021,Intermediate occupations,483.0,0.23970223325062034
Old Glossop Ward,Old Glossop Ward,1971,Intermediate occupations,27.0,0.34177215189873417
Old Glossop Ward,Old Glossop Ward,1981,Intermediate occupations,43.0,0.3467741935483871
Old Glossop Ward,Old Glossop Ward,1991,Intermediate occupations,31.0,0.16230366492146597
Old Glossop Ward,Old Glossop Ward,2001,Intermediate occupations,481.0,0.21013543031891654
Old Glossop Ward,Old Glossop Ward,2011,Intermediate occupations,792.0,0.18652849740932642
Old Glossop Ward,Old Glossop Ward,2021,Intermediate occupations,859.0,0.22870074547390842
Hadfield South Ward,Hadfield South Ward,1971,Intermediate occupations,68.0,0.2869198312236287
Hadfield South Ward,Hadfield South Ward,1981,Intermediate occupations,52.0,0.2549019607843137
Hadfield South Ward,Hadfield South Ward,1991,Intermediate occupations,63.0,0.26141078838174275
Hadfield South Ward,Hadfield South Ward,2001,Intermediate occupations,565.0,0.20185780635941408
Hadfield South Ward,Hadfield South Ward,2011,Intermediate occupations,741.0,0.19053741321676523
Hadfield South Ward,Hadfield South Ward,2021,Intermediate occupations,819.0,0.23954372623574144
Hadfield North Ward,Hadfield North Ward,1971,Intermediate occupations,43.0,0.3006993006993007
Hadfield North Ward,Hadfield North Ward,1981,Intermediate occupations,41.0,0.26973684210526316
Hadfield North Ward,Hadfield North Ward,1991,Intermediate occupations,22.0,0.2018348623853211
Hadfield North Ward,Hadfield North Ward,2001,Intermediate occupations,266.0,0.19674556213017752
Hadfield North Ward,Hadfield North Ward,2011,Intermediate occupations,405.0,0.1968886728245017
Hadfield North Ward,Hadfield North Ward,2021,Intermediate occupations,437.0,0.23
Tameside District,Tameside District,1841,Intermediate occupations,12488.0,0.3597395863340439
Tameside District,Tameside District,1881,Intermediate occupations,53665.0,0.36515496887013915
Tameside District,Tameside District,1931,Intermediate occupations,61009.0,0.5614307931570762
Tameside District,Tameside District,1971,Intermediate occupations,3937.0,0.3072420789761199
Tameside District,Tameside District,1981,Intermediate occupations,3807.0,0.2958041958041958
Tameside District,Tameside District,1991,Intermediate occupations,2631.0,0.2574363992172211
Tameside District,Tameside District,2001,Intermediate occupations,26079.0,0.20960288054267368
Tameside District,Tameside District,2011,Intermediate occupations,37896.0,0.2000253356979985
Tameside District,Tameside District,2021,Intermediate occupations,42304.0,0.22856278398807048
High Peak District,High Peak District,1841,Intermediate occupations,9364.0,0.4869221569341168
High Peak District,High Peak District,1881,Intermediate occupations,16196.0,0.32957551585202066
High Peak District,High Peak District,1931,Intermediate occupations,20553.0,0.5508415523156089
High Peak District,High Peak District,1971,Intermediate occupations,1252.0,0.2796515523788251
High Peak District,High Peak District,1981,Intermediate occupations,1220.0,0.26481441285001084
High Peak District,High Peak District,1991,Intermediate occupations,844.0,0.20138391791935098
High Peak District,High Peak District,2001,Intermediate occupations,10938.0,0.20383138906488762
High Peak District,High Peak District,2011,Intermediate occupations,15421.0,0.18778159323932686
High Peak District,High Peak District,2021,Intermediate occupations,17117.0,0.22618198155342373
Saddleworth South Ward,Saddleworth South Ward,1971,Intermediate occupations,107.0,0.22478991596638656
Saddleworth South Ward,Saddleworth South Ward,1981,Intermediate occupations,98.0,0.19560878243512975
Saddleworth South Ward,Saddleworth South Ward,1991,Intermediate occupations,55.0,0.1282051282051282
Saddleworth South Ward,Saddleworth South Ward,2001,Intermediate occupations,1313.0,0.23267765373028532
Saddleworth South Ward,Saddleworth South Ward,2011,Intermediate occupations,1891.0,0.19905263157894737
Saddleworth South Ward,Saddleworth South Ward,2021,Intermediate occupations,2069.0,0.24613371401379966
New Mills West Ward,New Mills West Ward,1971,Routine & manual occupations,53.0,0.24423963133640553
New Mills West Ward,New Mills West Ward,1981,Routine & manual occupations,57.0,0.24568965517241378
New Mills West Ward,New Mills West Ward,1991,Routine & manual occupations,55.0,0.2511415525114155
New Mills West Ward,New Mills West Ward,2001,Routine & manual occupations,882.0,0.3351063829787234
New Mills West Ward,New Mills West Ward,2011,Routine & manual occupations,975.0,0.23482658959537572
New Mills West Ward,New Mills West Ward,2021,Routine & manual occupations,987.0,0.27976190476190477
New Mills East Ward,New Mills East Ward,1971,Routine & manual occupations,63.0,0.26582278481012656
New Mills East Ward,New Mills East Ward,1981,Routine & manual occupations,69.0,0.3520408163265306
New Mills East Ward,New Mills East Ward,1991,Routine & manual occupations,70.0,0.4093567251461988
New Mills East Ward,New Mills East Ward,2001,Routine & manual occupations,1118.0,0.49447147279964615
New Mills East Ward,New Mills East Ward,2011,Routine & manual occupations,1284.0,0.3840861501645229
New Mills East Ward,New Mills East Ward,2021,Routine & manual occupations,1346.0,0.40603318250377074
Buxton Central Ward,Buxton Central Ward,1971,Routine & manual occupations,64.0,0.2882882882882883
Buxton Central Ward,Buxton Central Ward,1981,Routine & manual occupations,46.0,0.2987012987012987
Buxton Central Ward,Buxton Central Ward,1991,Routine & manual occupations,47.0,0.31125827814569534
Buxton Central Ward,Buxton Central Ward,2001,Routine & manual occupations,897.0,0.38764044943820225
Buxton Central Ward,Buxton Central Ward,2011,Routine & manual occupations,1111.0,0.2903815995818087
Buxton Central Ward,Buxton Central Ward,2021,Routine & manual occupations,1121.0,0.3537393499526665
Dinting Ward,Dinting Ward,1971,Routine & manual occupations,16.0,0.13333333333333333
Dinting Ward,Dinting Ward,1981,Routine & manual occupations,34.0,0.21518987341772153
Dinting Ward,Dinting Ward,1991,Routine & manual occupations,19.0,0.13194444444444445
Dinting Ward,Dinting Ward,2001,Routine & manual occupations,286.0,0.22274143302180685
Dinting Ward,Dinting Ward,2011,Routine & manual occupations,297.0,0.15789473684210525
Dinting Ward,Dinting Ward,2021,Routine & manual occupations,352.0,0.17468982630272953
Old Glossop Ward,Old Glossop Ward,1971,Routine & manual occupations,20.0,0.25316455696202533
Old Glossop Ward,Old Glossop Ward,1981,Routine & manual occupations,35.0,0.28225806451612906
Old Glossop Ward,Old Glossop Ward,1991,Routine & manual occupations,36.0,0.18848167539267016
Old Glossop Ward,Old Glossop Ward,2001,Routine & manual occupations,616.0,0.2691131498470948
Old Glossop Ward,Old Glossop Ward,2011,Routine & manual occupations,820.0,0.1931229392369289
Old Glossop Ward,Old Glossop Ward,2021,Routine & manual occupations,891.0,0.23722044728434505
Hadfield South Ward,Hadfield South Ward,1971,Routine & manual occupations,58.0,0.24472573839662448
Hadfield South Ward,Hadfield South Ward,1981,Routine & manual occupations,47.0,0.23039215686274508
Hadfield South Ward,Hadfield South Ward,1991,Routine & manual occupations,61.0,0.25311203319502074
Hadfield South Ward,Hadfield South Ward,2001,Routine & manual occupations,1037.0,0.37048946052161486
Hadfield South Ward,Hadfield South Ward,2011,Routine & manual occupations,1144.0,0.2941630239136025
Hadfield South Ward,Hadfield South Ward,2021,Routine & manual occupations,1057.0,0.3091547236033928
Hadfield North Ward,Hadfield North Ward,1971,Routine & manual occupations,42.0,0.2937062937062937
Hadfield North Ward,Hadfield North Ward,1981,Routine & manual occupations,55.0,0.3618421052631579
Hadfield North Ward,Hadfield North Ward,1991,Routine & manual occupations,30.0,0.27522935779816515
Hadfield North Ward,Hadfield North Ward,2001,Routine & manual occupations,565.0,0.41789940828402367
Hadfield North Ward,Hadfield North Ward,2011,Routine & manual occupations,671.0,0.32620320855614976
Hadfield North Ward,Hadfield North Ward,2021,Routine & manual occupations,677.0,0.3563157894736842
Tameside District,Tameside District,1841,Routine & manual occupations,19723.0,0.5681569395632886
Tameside District,Tameside District,1881,Routine & manual occupations,80766.0,0.5495594189092641
Tameside District,Tameside District,1931,Routine & manual occupations,36053.0,0.3317750559047365
Tameside District,Tameside District,1971,Routine & manual occupations,3769.0,0.29413141876073046
Tameside District,Tameside District,1981,Routine & manual occupations,3611.0,0.2805749805749806
Tameside District,Tameside District,1991,Routine & manual occupations,2738.0,0.2679060665362035
Tameside District,Tameside District,2001,Routine & manual occupations,53515.0,0.43011228008133673
Tameside District,Tameside District,2011,Routine & manual occupations,64224.0,0.3389916392196605
Tameside District,Tameside District,2021,Routine & manual occupations,63932.0,0.3454159395311394
High Peak District,High Peak District,1841,Routine & manual occupations,7345.0,0.3819354167749987
High Peak District,High Peak District,1881,Routine & manual occupations,26726.0,0.5438525090553905
High Peak District,High Peak District,1931,Routine & manual occupations,11250.0,0.30151157804459694
High Peak District,High Peak District,1971,Routine & manual occupations,1126.0,0.2515077060531606
High Peak District,High Peak District,1981,Routine & manual occupations,1206.0,0.2617755589320599
High Peak District,High Peak District,1991,Routine & manual occupations,1093.0,0.2607969458363159
High Peak District,High Peak District,2001,Routine & manual occupations,19757.0,0.36817487234914836
High Peak District,High Peak District,2011,Routine & manual occupations,22716.0,0.2766128443048148
High Peak District,High Peak District,2021,Routine & manual occupations,23469.0,0.31011654642035996
Saddleworth South Ward,Saddleworth South Ward,1971,Routine & manual occupations,67.0,0.1407563025210084
Saddleworth South Ward,Saddleworth South Ward,1981,Routine & manual occupations,71.0,0.14171656686626746
Saddleworth South Ward,Saddleworth South Ward,1991,Routine & manual occupations,55.0,0.1282051282051282
Saddleworth South Ward,Saddleworth South Ward,2001,Routine & manual occupations,1245.0,0.22062732589048378
Saddleworth South Ward,Saddleworth South Ward,2011,Routine & manual occupations,1533.0,0.16136842105263158
Saddleworth South Ward,Saddleworth South Ward,2021,Routine & manual occupations,1589.0,0.18903164406376397
New Mills West Ward,New Mills West Ward,1971,Never worked & long-term unemployed,22.0,0.10138248847926268
New Mills West Ward,New Mills West Ward,1981,Never worked & long-term unemployed,10.0,0.04310344827586207
New Mills West Ward,New Mills West Ward,1991,Never worked & long-term unemployed,2.0,0.0091324200913242
New Mills West Ward,New Mills West Ward,2001,Never worked & long-term unemployed,200.0,0.07598784194528875
